address,epoch_245_confirmation_minus_effective_reward_gnk,epoch_246_confirmation_minus_effective_reward_gnk,epoch_247_confirmation_minus_effective_reward_gnk,epoch_248_confirmation_minus_effective_reward_gnk,epoch_249_confirmation_minus_effective_reward_gnk,epoch_250_confirmation_minus_effective_reward_gnk,epoch_251_confirmation_minus_effective_reward_gnk,epoch_252_confirmation_minus_effective_reward_gnk,epoch_253_confirmation_minus_effective_reward_gnk,epoch_254_confirmation_minus_effective_reward_gnk,epoch_255_confirmation_minus_effective_reward_gnk,total_confirmation_minus_effective_reward_gnk
gonka1d7p03cu2y2yt3vytq9wlfm6tlz0lfhlgv9h82p,0E-9,-198.187910441,-204.385085462,0,0E-9,0E-9,0E-9,0E-9,0.695959336,6.407073851,0E-9,-395.469962716
gonka10t67f5zxh7canhuznxg7cperec6286jjqh5pey,-131.260935749,-133.073541141,-137.23464271,0,0,,,,,,,-401.569119600
gonka10snluhflqhmwl5xrpuy9ugevypxdjjsft370fq,-213.571831326,-216.52108238,0E-7,0,,,,,,,,-430.092913706
gonka12kqft8tme0z5zm6skx8zwja7aq8knqc0udfcwp,-467.987326745,0,,,,,,,,,,-467.987326745
gonka1qx4f2vzhccv0ndhssfgafvf55xf4smuzjmkvky,0E-9,-492.783018146,0,,,,,,,,,-492.783018146
gonka15pgw0fe32rv78hdj2clch9acy0mv08j7xkrmxz,-505.089586494,0,,,,,,,,,,-505.089586494
gonka13kd0e5393704ummmwf7pqvphlm5qsqdpe3kal2,-510.389909315,0,,,,,,,,,,-510.389909315
gonka1ql9asemklpkpr2d4mh33xw5gj0g5tm0v98c5q3,,0E-9,-534.595757828,0,,,,,,,,-534.595757828
gonka1psgzz288a434dv6863ldd73xma70zw7387muj2,,0E-9,-534.595757828,0,,,,,,,,-534.595757828
gonka1pllyukkeymx3hfd9mts3pryr9y6efs9eshty87,0E-9,-671.689489136,-692.692674015,0E-9,0E-9,0E-9,0E-9,410.757091137,0E-9,260.182912047,158.400259875,-535.041900092
gonka15rvksn9gxgpszyr8270cd4wj2x3d460r394uv4,,0E-9,-537.855488058,0,,,,,,,,-537.855488058
gonka19qkysq3adu5lrasgvgy7ecd78erz7jndye92jv,-542.191846243,0,,,,,,,,,,-542.191846243
gonka1gyydhl9lp0udz3409ps0c0lk0y4ft8qcyv8tfq,,0E-9,-547.63467875,0,,,,,,,,-547.634678750
gonka1jcxsgcnctv69xd9v35qy45m45pg3wwhn0f8pl2,-551.857140799,0,,,,,,,,,,-551.857140799
gonka1gt0406jz45mjt0jujqtfd3m9lcyah93t0wj084,-552.48070819,,,,,,,,,,,-552.48070819
gonka1amlmhjym02shahjv8ldmupg4cx0qc66q6f85rj,-284.034946479,-287.957235107,0E-8,0E-9,0E-9,0E-9,0E-9,0E-9,0E-9,7.799915992,3.13902954,-561.053236054
gonka19f9hkpmjaldncsfly4j63sy932y8hughn4l3d8,0E-9,-287.957235107,-296.961424013,0E-9,0E-9,0E-9,0E-9,2.548647928,1.043939004,6.964210708,6.519522891,-567.842338589
gonka10kjjhgzngn2yj9fgrcfu4wf5lj6xv05u7xhz53,-643.833330932,0,,,,,,,,,,-643.833330932
gonka1q5xt54wncgzk7dxv9x64uln68455g83wu9tugg,0E-9,-934.359590534,-936.194522246,0E-8,0E-8,0E-9,0E-9,408.633217863,0E-9,807.569873688,0E-9,-654.351021229
gonka1slndy4rsmld579628302rj5gz8z9qf4v6ppmc4,0E-9,0E-9,-706.05756796,0E-9,0E-9,0E-9,0E-9,19.964408772,0E-9,0E-9,0E-9,-686.093159188
gonka1hytku6t3cfd7wppyrjvu357jjqpsgsw6wcprcy,-719.284985211,0E-9,0,,,,,,,,,-719.284985211
gonka1dkl4mah5erqggvhqkpc8j3qs5tyuetgdy552cp,0E-9,-374.249578887,-385.95205931,0,,,,0,1.043939004,10.585600276,0E-9,-748.572098917
gonka1elw9xd79mpsrt7jqwkweg6yv02nvda49xhcej2,-750.775138443,0E-9,0,,,,,,,,,-750.775138443
gonka1lr9mj6dgkv0h76c8y8w0l3esztyg9v2q8d6d8d,0E-9,0E-9,-785.269012566,0,0E-9,0E-9,17.383855703,0E-9,0E-8,0E-9,0E-9,-767.885156863
